Country,State,Route,Year,Aou,SpeciesTotal
124,4,1,1990,3160,7
124,4,1,1991,3160,32
124,4,1,1992,3160,1
124,4,1,1993,3160,2
124,4,1,1994,3160,5
124,4,1,2000,3160,1
124,4,1,2005,3160,9
124,4,1,2006,3160,14
124,4,1,2007,3160,8
124,4,1,2015,3160,39
124,4,1,2016,3160,12
124,4,2,1990,3160,4
124,4,2,1991,3160,6
124,4,2,1993,3160,6
124,4,2,1994,3160,7
124,4,2,1995,3160,4
124,4,2,1996,3160,4
124,4,2,1997,3160,4
124,4,2,1998,3160,6
124,4,2,1999,3160,13
124,4,2,2000,3160,5
124,4,2,2001,3160,12
124,4,2,2002,3160,29
124,4,2,2003,3160,24
124,4,2,2004,3160,22
124,4,2,2005,3160,21
124,4,2,2006,3160,32
124,4,2,2007,3160,20
124,4,2,2008,3160,24
124,4,2,2009,3160,25
124,4,2,2010,3160,4
124,4,2,2011,3160,27
124,4,2,2012,3160,26
124,4,2,2013,3160,32
124,4,2,2014,3160,33
124,4,2,2015,3160,46
124,4,2,2016,3160,34
124,4,2,2017,3160,20
124,4,2,2018,3160,44
124,4,2,2019,3160,39
124,4,3,1990,3160,1
124,4,3,1991,3160,3
124,4,3,1992,3160,8
124,4,3,1994,3160,5
124,4,3,1995,3160,2
124,4,3,1997,3160,10
124,4,3,1998,3160,5
124,4,3,1999,3160,9
124,4,3,2000,3160,7
124,4,3,2001,3160,4
124,4,3,2002,3160,8
124,4,3,2003,3160,6
124,4,3,2004,3160,4
124,4,3,2005,3160,10
124,4,3,2006,3160,6
124,4,3,2007,3160,5
124,4,3,2008,3160,10
124,4,3,2009,3160,8
124,4,3,2010,3160,8
124,4,3,2011,3160,9
124,4,3,2012,3160,7
124,4,3,2013,3160,12
124,4,3,2014,3160,10
124,4,3,2015,3160,8
,,,,,
124,4,3,2016,3160,4
124,4,3,2017,3160,4
124,4,4,1992,3160,8
124,4,4,1994,3160,1
124,4,4,1995,3160,2
124,4,4,1996,3160,1
124,4,4,1997,3160,2
124,4,4,1998,3160,2
124,4,4,2002,3160,2
124,4,4,2004,3160,1
124,4,4,2005,3160,2
124,4,4,2006,3160,1
124,4,4,2007,3160,2
124,4,4,2008,3160,3
124,4,4,2009,3160,3
124,4,4,2010,3160,7
124,4,4,2011,3160,4
124,4,4,2012,3160,7
124,4,4,2013,3160,1
124,4,4,2014,3160,2
124,4,4,2015,3160,4
124,4,4,2016,3160,2
124,4,4,2017,3160,3
124,4,4,2018,3160,25
124,4,6,1993,3160,10
124,4,6,1994,3160,1
124,4,6,1995,3160,6
124,4,6,1996,3160,7
124,4,6,1998,3160,6
124,4,6,2000,3160,12
124,4,6,2001,3160,5
124,4,6,2002,3160,8
124,4,6,2003,3160,9
124,4,6,2004,3160,13
124,4,6,2005,3160,5
124,4,6,2008,3160,6
124,4,6,2009,3160,11
124,4,6,2010,3160,6
124,4,6,2011,3160,6
124,4,6,2013,3160,11
124,4,6,2015,3160,14
124,4,6,2016,3160,16
124,4,6,2017,3160,11
124,4,6,2018,3160,7
124,4,6,2019,3160,7
124,4,7,1991,3160,2
124,4,7,2000,3160,1
124,4,7,2003,3160,1
124,4,7,2004,3160,2
124,4,7,2005,3160,1
124,4,7,2007,3160,3
124,4,7,2008,3160,2
124,4,7,2010,3160,1
124,4,9,1998,3160,1
124,4,9,1999,3160,1
124,4,9,2006,3160,1
124,4,9,2008,3160,4
124,4,9,2009,3160,1
124,4,9,2010,3160,1
124,4,9,2011,3160,1
124,4,9,2013,3160,1
124,4,9,2016,3160,3
124,4,9,2017,3160,3
124,4,9,2018,3160,3
124,4,10,2007,3160,1
124,4,11,1992,3160,4
124,4,11,1993,3160,6
124,4,11,1995,3160,7
124,4,11,1997,3160,1
124,4,11,2000,3160,2
124,4,11,2016,3160,7
124,4,11,2017,3160,15
124,4,11,2018,3160,7
124,4,11,2019,3160,21
124,4,12,1999,3160,3
124,4,12,2003,3160,5
124,4,12,2005,3160,3
124,4,12,2006,3160,5
124,4,12,2007,3160,5
124,4,12,2008,3160,2
124,4,13,1991,3160,1
124,4,13,1992,3160,2
124,4,13,1993,3160,1
124,4,13,1994,3160,1
124,4,13,1999,3160,1
124,4,13,2007,3160,5
124,4,13,2008,3160,2
124,4,13,2009,3160,1
124,4,13,2011,3160,2
124,4,13,2012,3160,1
124,4,13,2013,3160,6
